program_id,university,university_short,city,state,program_name_official,program_type,degree,ects,duration_semesters,language_of_instruction,specializations,ai_ml_focus_score,visual_computing_focus_score,software_engineering_focus_score,general_cs_breadth_score,ws_26_27_intake_status,ws_26_27_deadline_non_eu,application_route,application_portal_url,vpd_required,ielts_minimum,toefl_minimum,moi_letter_accepted,gpa_cutoff_german_scale,ects_prerequisites,ects_prereq_assessment,gre_required,gate_accepted,gre_recommended,aps_required,tuition_per_semester_eur,semester_contribution_eur,application_fee_eur,paper_documents_required,brand_score,application_convenience_score,document_burden_score,admit_probability_score,city_liveability_score,career_outcomes_score,vpd_score,composite_priority_score,admit_difficulty_tier,notes,primary_source_url,application_source_url,last_verified_date
tu_darmstadt__msc_cs,TU Darmstadt,TUDA,Darmstadt,Hessen,M.Sc. Computer Science,msc_cs_general,M.Sc.,120,4,English,"Data Science & Engineering; Visual Computing; Distributed Computing",5,5,5,5,open,2026-07-15,direct (TUCaN),https://www.informatik.tu-darmstadt.de/studium_fb20/vor_dem_studium/bewerbung_1/bewerbung_2.en.jsp,false,7.0,95,true,no published cutoff,180 CP Bachelor; ≥60 CP comparable to TU Darmstadt B.Sc. CS,likely_pass,false,true,false,true,0,270,0,true,5,4,3,4,4,5,5,50,reach,Paper docs received by 15 Jul. Entrance exam if competencies unclear. GRE/GATE may exempt from entrance exam.,https://www.informatik.tu-darmstadt.de/studium_fb20/im_studium/studiengaenge_liste/computer_science_msc.en.jsp,https://www.informatik.tu-darmstadt.de/studium_fb20/vor_dem_studium/bewerbung_1/bewerbung_2.en.jsp,2026-05-04
tu_darmstadt__msc_aiml,TU Darmstadt,TUDA,Darmstadt,Hessen,M.Sc. Artificial Intelligence and Machine Learning,msc_ai,M.Sc.,120,4,English,AI & Machine Learning (named program),5,4,3,3,open,2026-07-15,direct (TUCaN),https://www.informatik.tu-darmstadt.de/studium_fb20/vor_dem_studium/bewerbung_1/bewerbung_2.en.jsp,false,7.0,95,true,no published cutoff,180 CP Bachelor; CS/related,likely_pass,false,true,false,true,0,270,0,true,5,4,3,4,4,5,5,45,reach,Named AI/ML degree. DFKI / hessian.AI affiliation. Strongest AI program for the applicant.,https://www.informatik.tu-darmstadt.de/studium_fb20/im_studium/studiengaenge_liste/aim_msc.en.jsp,https://www.informatik.tu-darmstadt.de/studium_fb20/vor_dem_studium/bewerbung_1/bewerbung_2.en.jsp,2026-05-04
tu_berlin__msc_cs,TU Berlin,TUB,Berlin,Berlin,M.Sc. Computer Science (Informatik),msc_cs_general,M.Sc.,120,4,English,broad CS,5,4,5,5,open,2026-08-31,uni-assist + direct,https://www.tu.berlin/en/eecs/academics-teaching/study-offer/masters-programs/msc-computer-science-informatik/msc-cs-in-application-admission,true,6.5,unverified,unverified,no published cutoff (admission-free),subject-specific CS prerequisites,likely_pass,false,unverified,false,true,0,320,75,unverified,5,3,3,4,5,5,1,45,reach,VPD via uni-assist mandatory from Summer 2026 onwards. Latest deadline of any in-scope target.,https://www.tu.berlin/en/eecs/academics-teaching/study-offer/masters-programs/msc-computer-science-informatik,https://www.tu.berlin/en/eecs/academics-teaching/study-offer/masters-programs/msc-computer-science-informatik/msc-cs-in-application-admission,2026-05-04
hpi__msc_cs,Hasso-Plattner-Institut,HPI,Potsdam,Brandenburg,M.Sc. Computer Science,msc_cs_specialized,M.Sc.,120,4,English,"Cybersecurity; Data & AI; Systems Engineering; Digital Health",5,3,5,4,open,2026-06-01,direct (HPI portal),https://hpi.de/en/studies/application/application-computer-science-msc/,false,7.0,95,true,no published cutoff (selective),180 CP Bachelor; ≥15 CP math; ≥10 CP Technical CS,likely_pass,false,unverified,false,true,0,320,0,unverified,5,4,4,3,5,5,5,48,reach,Tracks include Cybersecurity / Data & AI / Systems Eng / Digital Health (no separate degrees). Free + scholarships available.,https://hpi.de/en/studies/computer-science-msc/,https://hpi.de/en/studies/application/application-computer-science-msc/,2026-05-04
uni_bonn__msc_cs,Universität Bonn,Bonn,Bonn,NRW,M.Sc. Computer Science,msc_cs_specialized,M.Sc.,120,4,English,"Algorithmics; Graphics/Vision/Audio; Information & Communication Management; Intelligent Systems",5,4,4,5,open,2026-06-01,uni-assist,https://www.informatik.uni-bonn.de/en/studies/master-programs/master-program-application,true,7.0,unverified,false,no published cutoff,18 ECTS math + 14 ECTS algo/complexity + 18 ECTS prog/SE + Bachelor thesis ≥12 ECTS,likely_pass,false,unverified,false,true,0,350,75,unverified,5,3,3,2,5,5,1,42,reach,<5% intl admit rate per WebSearch. IELTS/TOEFL mandatory (no MOI substitute). Window 15 May–1 Jun 2026 single round for non-EEA.,https://www.informatik.uni-bonn.de/en/studies/master-programs/master-computer-science/msc-cs,https://www.informatik.uni-bonn.de/en/studies/master-programs/master-program-application,2026-05-04
tu_dresden__msc_cs,TU Dresden,TUD,Dresden,Sachsen,M.Sc. Computer Science,msc_cs_specialized,M.Sc.,120,4,English,"Open Track; Distributed Systems Engineering; AI/ML; Computer Graphics (Visual Computing); Software Engineering",5,4,4,5,open,2026-05-31,uni-assist + direct,https://tu-dresden.de/ing/informatik/studium/studienangebot/master-studiengaenge/m-sc-computer-science/admission?set_language=en,true,7.0,95,unverified,no published cutoff,aptitude assessment (paper review),likely_pass,false,unverified,true,true,0,290,75,unverified,4,3,4,3,4,4,1,41,target,GRE strongly recommended for non-EU/EEA but not strictly required. Foreign-HZB applicants route via uni-assist (Section 12 pitfall).,https://tu-dresden.de/ing/informatik/studium/studienangebot/master-studiengaenge/m-sc-computer-science,https://tu-dresden.de/ing/informatik/studium/studienangebot/master-studiengaenge/m-sc-computer-science/admission?set_language=en,2026-05-04
uni_freiburg__msc_cs,Universität Freiburg,UFr,Freiburg,Baden-Württemberg,M.Sc. Computer Science,msc_cs_specialized,M.Sc.,120,4,English,"Open Curriculum; AI specialisation; Cyber-Physical Systems",5,5,3,4,open,unverified (likely 2026-07-15 non-EU; 2026-09-30 nominal),uni-assist + direct,https://uni-freiburg.de/en/studies/applying/dates-and-deadlines/,true,7.0,unverified,unverified,unverified,4-year Bachelor required for non-Europe applicants (applicant has 4-yr BTech),likely_pass,unverified,unverified,false,true,1500,165,75,unverified,4,3,3,3,4,4,1,39,reach,€1500/sem at applicant tolerance limit. Strong ML (Frank Hutter) and CV labs. Verify exact non-EU deadline.,https://www.tf.uni-freiburg.de/en/study-programs/computer-science/m-sc-computer-science,https://uni-freiburg.de/en/studies/applying/dates-and-deadlines/,2026-05-04
leibniz_hannover__msc_cs,Leibniz Universität Hannover,LUH,Hannover,Niedersachsen,M.Sc. Computer Science,msc_cs_specialized,M.Sc.,120,4,English & German,"Data Science; Human-Centered Computing; Systems-oriented CS",4,2,4,4,open,2026-05-31,uni-assist + direct,https://www.uni-hannover.de/en/studium/vor-dem-studium/bewerbung-zulassung/studienplatzbewerbung/master-application-for-prospective-students-from-outside-the-eu,true,7.0,95,unverified,no published cutoff,aptitude test compares Bachelor content vs LUH BSc CS/EE,likely_pass,false,unverified,false,true,0,411,75,unverified,4,3,4,4,3,4,1,37,target,Window 15 Apr–31 May 2026. VPD lead time tight (4-6 weeks). Strong AI through L3S Research Center.,https://www.uni-hannover.de/en/studium/studienangebot/info/studiengang/detail/computer-science-1,https://www.uni-hannover.de/en/studium/vor-dem-studium/bewerbung-zulassung/studienplatzbewerbung/master-application-for-prospective-students-from-outside-the-eu,2026-05-04
tu_ilmenau__msc_rcse,TU Ilmenau,TUI,Ilmenau,Thüringen,M.Sc. Research in Computer & Systems Engineering,msc_cs_specialized,M.Sc.,120,4,English,"Research orientation; SSE (SW & Systems Engineering)",3,1,4,3,open,2026-05-15,direct (NO uni-assist),https://www.tu-ilmenau.de/en/study/before-the-study/range-of-courses/application/application-with-foreign-certificates,false,5.5,unverified,unverified,unverified,Bachelor in CS / Tech CS / CE or related,likely_pass,false,unverified,unverified,true,0,200,75,unverified,3,5,4,4,2,3,5,37,target,No uni-assist required. €75 paid directly to TU Ilmenau. Lang cert <2 years old. Tight deadline (11 days).,https://www.tu-ilmenau.de/en/study/before-the-study/range-of-courses/master/research-in-computer-systems-engineering-msc,https://www.tu-ilmenau.de/en/study/before-the-study/range-of-courses/application/application-with-foreign-certificates,2026-05-04
uni_marburg__msc_cs,Universität Marburg,UMR,Marburg,Hessen,M.Sc. Computer Science,msc_cs_specialized,M.Sc.,120,4,English,"AI; Cybersecurity; Software Engineering; Data Systems; Theoretical CS",4,2,4,4,open,2026-07-15,uni-assist,https://www.uni-marburg.de/en/fb12/studying/degree-programs/m-sc-computer-science/application,true,6.5,unverified,unverified,internal eligibility assessment (no specific cutoff number),≥90 ECTS in math+CS (12 math + 72 CS minimum),likely_pass,false,unverified,false,true,0,420,75,unverified,3,4,4,5,3,3,1,37,target,Admission-free (no NC). Strong AI specialisation listed. Foreign-degree window 1 May–30 June.,https://www.uni-marburg.de/en/studying/after-your-first-degree/masters-programs/degree-programs/computer-science-msc,https://www.uni-marburg.de/en/fb12/studying/degree-programs/m-sc-computer-science/application,2026-05-04
